 No   A    B    C    F    G    H   SS1  SS2  SS3  SS4  SS5 SS6  SS7  SS8  SS9  SS10 SS11 SS12 SS13  SS14  SS15  SS16  SS17 SS18
 10 +0.0 +0.0 +0.0 +0.0 +0.0 -1.0 +1.0 +1.0 -0.0 +0.0 -1.0 -1.0 +0.0 -1.0 -1.0 -0.0 -1.0 -1.0 -1.0 +1.0 -1.0 +1.0 +0.0 +0.0 
 11 +0.0 +0.0 +0.0 +0.0 +0.0 +1.0 -1.0 -1.0 -0.0 +0.0 +1.0 +1.0 +0.0 +1.0 +1.0 -0.0 +1.0 +1.0 +1.0 -1.0 +1.0 -1.0 +0.0 +0.0 
 12 +0.0 +0.0 +0.0 +0.0 +1.0 +0.0 +1.0 +0.0 -1.0 -1.0 +0.0 -1.0 +1.0 +0.0 +1.0 +1.0 -0.0 +1.0 +1.0 +1.0 +0.0 +0.0 +1.0 -1.0 
 13 +0.0 +0.0 +0.0 +0.5 -0.5 -0.5 -0.0 +1.0 +1.0 +0.0 +0.0 -0.0 +0.0 -1.0 -1.0 -1.0 -0.0 -1.0 -1.0 +0.0 +0.0 +1.0 +0.0 +1.0 
 14 +0.0 +0.0 +0.0 +0.5 -0.5 +0.5 -1.0 +0.0 +1.0 +0.0 +1.0 +1.0 +0.0 +0.0 -0.0 -1.0 +1.0 +0.0 +0.0 -1.0 +1.0 +0.0 +0.0 +1.0 
 15 +0.0 +0.0 +0.0 +0.5 +0.5 -0.5 +1.0 +1.0 -0.0 -1.0 +0.0 -1.0 +1.0 -1.0 -0.0 -0.0 -0.0 +0.0 +0.0 +1.0 +0.0 +1.0 +1.0 +0.0 
 16 +0.0 +0.0 +0.0 +0.5 +0.5 +0.5 -0.0 +0.0 -0.0 -1.0 +1.0 -0.0 +1.0 +0.0 +1.0 -0.0 +1.0 +1.0 +1.0 +0.0 +1.0 +0.0 +1.0 +0.0 
 17 +0.0 +0.0 +0.0 +1.0 +0.0 +0.0 -0.0 +1.0 +1.0 -1.0 +1.0 -0.0 +1.0 -1.0 -0.0 -1.0 +1.0 +0.0 +0.0 +0.0 +1.0 +1.0 +1.0 +1.0 
 18 +0.0 +1.0 -1.0 +0.0 +0.0 +0.0 -0.0 +1.0 +1.0 -1.0 +1.0 -0.0 -1.0 +1.0 -0.0 +1.0 -1.0 +0.0 +0.0 +0.0 +0.0 +0.0 +0.0 +0.0 
 19 +1.0 -1.0 +0.0 +0.0 +0.0 +0.0 -1.0 -1.0 -0.0 +0.0 -1.0 -1.0 +0.0 -1.0 -1.0 -0.0 +1.0 +1.0 +0.0 +0.0 +0.0 +0.0 +0.0 +0.0 
 20 +1.0 +0.0 -1.0 +0.0 +0.0 +0.0 -1.0 +0.0 +1.0 -1.0 +0.0 -1.0 -1.0 +0.0 -1.0 +1.0 -0.0 +1.0 +0.0 +0.0 +0.0 +0.0 +0.0 +0.0 
 No   A    B    C    F    G    H   SS1  SS2  SS3  SS4  SS5 SS6  SS7  SS8  SS9  SS10 SS11 SS12 SS13  SS14  SS15  SS16  SS17 SS18
  1 -1.0 +0.0 +1.0 +0.0 +0.0 +0.0 +1.0 +0.0 -1.0 +1.0 +0.0 +1.0 +1.0 +0.0 +1.0 -1.0 -0.0 -1.0 +0.0 +0.0 +0.0 +0.0 +0.0 +0.0 
  2 -1.0 +1.0 +0.0 +0.0 +0.0 +0.0 +1.0 +1.0 -0.0 +0.0 +1.0 +1.0 +0.0 +1.0 +1.0 -0.0 -1.0 -1.0 +0.0 +0.0 +0.0 +0.0 +0.0 +0.0 
 No   A    B    C    F    G    H   SS1  SS2  SS3  SS4  SS5 SS6  SS7  SS8  SS9  SS10 SS11 SS12 SS13  SS14  SS15  SS16  SS17 SS18
  1 -1.0 +0.0 +1.0 +0.0 +0.0 +0.0 +1.0 +0.0 -1.0 +1.0 +0.0 +1.0 +1.0 +0.0 +1.0 -1.0 -0.0 -1.0 +0.0 +0.0 +0.0 +0.0 +0.0 +0.0 
  2 -1.0 +1.0 +0.0 +0.0 +0.0 +0.0 +1.0 +1.0 -0.0 +0.0 +1.0 +1.0 +0.0 +1.0 +1.0 -0.0 -1.0 -1.0 +0.0 +0.0 +0.0 +0.0 +0.0 +0.0 
  3 +0.0 -1.0 +1.0 +0.0 +0.0 +0.0 -0.0 -1.0 -1.0 +1.0 -1.0 -0.0 +1.0 -1.0 -0.0 -1.0 +1.0 +0.0 +0.0 +0.0 +0.0 +0.0 +0.0 +0.0 
  4 +0.0 +1.0 -1.0 +0.0 +0.0 +0.0 -0.0 +1.0 +1.0 -1.0 +1.0 -0.0 -1.0 +1.0 -0.0 +1.0 -1.0 +0.0 +0.0 +0.0 +0.0 +0.0 +0.0 +0.0 
  5 +1.0 -1.0 +0.0 +0.0 +0.0 +0.0 -1.0 -1.0 -0.0 +0.0 -1.0 -1.0 +0.0 -1.0 -1.0 -0.0 +1.0 +1.0 +0.0 +0.0 +0.0 +0.0 +0.0 +0.0 
  6 +1.0 +0.0 -1.0 +0.0 +0.0 +0.0 -1.0 +0.0 +1.0 -1.0 +0.0 -1.0 -1.0 +0.0 -1.0 +1.0 -0.0 +1.0 +0.0 +0.0 +0.0 +0.0 +0.0 +0.0 
 No   A    B    C    F    G    H   SS1  SS2  SS3  SS4  SS5 SS6  SS7  SS8  SS9  SS10 SS11 SS12 SS13  SS14  SS15  SS16  SS17 SS18
  1 -1.0 +0.0 +1.0 +0.0 +0.0 +0.0 +1.0 +0.0 -1.0 +1.0 +0.0 +1.0 +1.0 +0.0 +1.0 -1.0 -0.0 -1.0 +0.0 +0.0 +0.0 +0.0 +0.0 +0.0 
  2 -1.0 +1.0 +0.0 +0.0 +0.0 +0.0 +1.0 +1.0 -0.0 +0.0 +1.0 +1.0 +0.0 +1.0 +1.0 -0.0 -1.0 -1.0 +0.0 +0.0 +0.0 +0.0 +0.0 +0.0 
  3 +0.0 -1.0 +1.0 +0.0 +0.0 +0.0 -0.0 -1.0 -1.0 +1.0 -1.0 -0.0 +1.0 -1.0 -0.0 -1.0 +1.0 +0.0 +0.0 +0.0 +0.0 +0.0 +0.0 +0.0 
  4 +0.0 +1.0 -1.0 +0.0 +0.0 +0.0 -0.0 +1.0 +1.0 -1.0 +1.0 -0.0 -1.0 +1.0 -0.0 +1.0 -1.0 +0.0 +0.0 +0.0 +0.0 +0.0 +0.0 +0.0 
  5 +1.0 -1.0 +0.0 +0.0 +0.0 +0.0 -1.0 -1.0 -0.0 +0.0 -1.0 -1.0 +0.0 -1.0 -1.0 -0.0 +1.0 +1.0 +0.0 +0.0 +0.0 +0.0 +0.0 +0.0 
  6 +1.0 +0.0 -1.0 +0.0 +0.0 +0.0 -1.0 +0.0 +1.0 -1.0 +0.0 -1.0 -1.0 +0.0 -1.0 +1.0 -0.0 +1.0 +0.0 +0.0 +0.0 +0.0 +0.0 +0.0 
 No   A    B    C    F    G    H   SS1  SS2  SS3  SS4  SS5 SS6  SS7  SS8  SS9  SS10 SS11 SS12 SS13  SS14  SS15  SS16  SS17 SS18
  1 -1.0 +0.0 +1.0 +0.0 +0.0 +0.0 +1.0 +0.0 -1.0 +1.0 +0.0 +1.0 +1.0 +0.0 +1.0 -1.0 -0.0 -1.0 +0.0 +0.0 +0.0 +0.0 +0.0 +0.0 
  2 -1.0 +1.0 +0.0 +0.0 +0.0 +0.0 +1.0 +1.0 -0.0 +0.0 +1.0 +1.0 +0.0 +1.0 +1.0 -0.0 -1.0 -1.0 +0.0 +0.0 +0.0 +0.0 +0.0 +0.0 
  3 +0.0 -1.0 +1.0 +0.0 +0.0 +0.0 -0.0 -1.0 -1.0 +1.0 -1.0 -0.0 +1.0 -1.0 -0.0 -1.0 +1.0 +0.0 +0.0 +0.0 +0.0 +0.0 +0.0 +0.0 
  4 +0.0 +1.0 -1.0 +0.0 +0.0 +0.0 -0.0 +1.0 +1.0 -1.0 +1.0 -0.0 -1.0 +1.0 -0.0 +1.0 -1.0 +0.0 +0.0 +0.0 +0.0 +0.0 +0.0 +0.0 
  5 +1.0 -1.0 +0.0 +0.0 +0.0 +0.0 -1.0 -1.0 -0.0 +0.0 -1.0 -1.0 +0.0 -1.0 -1.0 -0.0 +1.0 +1.0 +0.0 +0.0 +0.0 +0.0 +0.0 +0.0 
  6 +1.0 +0.0 -1.0 +0.0 +0.0 +0.0 -1.0 +0.0 +1.0 -1.0 +0.0 -1.0 -1.0 +0.0 -1.0 +1.0 -0.0 +1.0 +0.0 +0.0 +0.0 +0.0 +0.0 +0.0 
